Year,Month,Day,Hour,GOES_Num,Direction,URL,Date
1996,7,21,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.21.0600.v01.nc,1996-07-21
1996,7,21,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.21.1200.v01.nc,1996-07-21
1996,7,21,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.21.1800.v01.nc,1996-07-21
1996,8,25,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.25.0000.v01.nc,1996-08-25
1996,8,25,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.25.0400.v01.nc,1996-08-25
1996,8,25,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.25.1400.v01.nc,1996-08-25
1996,8,25,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.25.1800.v01.nc,1996-08-25
1996,8,26,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.26.0000.v01.nc,1996-08-26
1996,8,26,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.26.0400.v01.nc,1996-08-26
1996,8,26,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.26.1400.v01.nc,1996-08-26
1996,8,26,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.26.1800.v01.nc,1996-08-26
1996,8,27,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.27.0000.v01.nc,1996-08-27
1996,8,27,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.27.0400.v01.nc,1996-08-27
1996,8,27,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.27.1400.v01.nc,1996-08-27
1996,8,27,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.27.1800.v01.nc,1996-08-27
1996,8,28,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.28.0000.v01.nc,1996-08-28
1996,8,28,4,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.28.0400.v01.nc,1996-08-28
1996,8,28,14,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.28.1400.v01.nc,1996-08-28
1996,8,28,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/08/GridSat-GOES.goes09.1996.08.28.1800.v01.nc,1996-08-28
